Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL187003,,None,271.36,0,2.68,11,CC(CN1CCCC1)Oc1cccc2ccc(N)nc12,IC50,'=',360,nM,6.44,,,UO_0000065,,,,,0,CHEMBL835734,Concentration required to inhibit 50% of melanin-concentrating hormone induced [Ca2+] flux in IMR-32 cells measured by using a fluorometric imaging plate reader,F,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137870,1,Scientific Literature,Bioorg Med Chem Lett,2004,CHEMBL3307656,,
CHEMBL184477,,None,285.39,0,3.07,12,CC(CN1CCCCC1)Oc1cccc2ccc(N)nc12,IC50,'=',290,nM,6.54,,,UO_0000065,,,,,0,CHEMBL835734,Concentration required to inhibit 50% of melanin-concentrating hormone induced [Ca2+] flux in IMR-32 cells measured by using a fluorometric imaging plate reader,F,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137870,1,Scientific Literature,Bioorg Med Chem Lett,2004,CHEMBL3307656,,
CHEMBL185236,,None,287.36,0,1.92,13,CC(CN1CCOCC1)Oc1cccc2ccc(N)nc12,IC50,'=',190,nM,6.72,,,UO_0000065,,,,,0,CHEMBL835734,Concentration required to inhibit 50% of melanin-concentrating hormone induced [Ca2+] flux in IMR-32 cells measured by using a fluorometric imaging plate reader,F,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137870,1,Scientific Literature,Bioorg Med Chem Lett,2004,CHEMBL3307656,,
CHEMBL365041,,None,271.36,0,2.58,6,CC(CNCC1CC1)Oc1cccc2ccc(N)nc12,IC50,'=',80,nM,7.1,,,UO_0000065,26.15,0.48,4.52,11.79,0,CHEMBL832324,Concentration required to inhibit binding of [125I]-MCH radioligand to human Melanin-concentrating hormone receptor 1 in IMR-32 I3.4.2 cell membranes,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137870,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,
CHEMBL365094,,None,413.36,0,4.29,11,O=C(Cc1ccccc1Br)NC1CCN(C/C=C/c2ccccc2)CC1,IC50,'=',300,nM,6.52,,,UO_0000065,15.78,0.34,2.23,20.17,0,CHEMBL830898,Inhibition of binding to MCHR1 of human neuronal IMR32-derived cell-line I3.4.2 (Galpha-16 transfected),B,BAO_0000019,assay format,Mus musculus,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140256,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,
CHEMBL188340,,None,397.48,0,2.89,28,COc1cccc(CNC(=O)NC2CCN(Cc3ccc4c(c3)OCO4)CC2)c1,IC50,'=',490,nM,6.31,,,UO_0000065,15.87,0.3,3.42,8.76,0,CHEMBL830898,Inhibition of binding to MCHR1 of human neuronal IMR32-derived cell-line I3.4.2 (Galpha-16 transfected),B,BAO_0000019,assay format,Mus musculus,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140256,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,
CHEMBL363336,,None,428.53,0,4.41,31,O=C(Cc1ccc(-c2ccccc2)cc1)NC1CCN(Cc2ccc3c(c2)OCO3)CC1,IC50,'=',60,nM,7.22,,,UO_0000065,16.85,0.31,2.81,14.22,0,CHEMBL830898,Inhibition of binding to MCHR1 of human neuronal IMR32-derived cell-line I3.4.2 (Galpha-16 transfected),B,BAO_0000019,assay format,Mus musculus,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140256,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,
CHEMBL185688,,None,458.56,0,4.41,32,COc1ccccc1-c1ccc(CC(=O)NC2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1,IC50,'=',90,nM,7.05,,,UO_0000065,15.36,0.28,2.64,11.74,0,CHEMBL830898,Inhibition of binding to MCHR1 of human neuronal IMR32-derived cell-line I3.4.2 (Galpha-16 transfected),B,BAO_0000019,assay format,Mus musculus,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140256,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,
CHEMBL363337,,None,414.46,0,3.19,25,COc1cc(OC)cc(OC(=O)NC2CCN(Cc3ccc4c(c3)OCO4)CC2)c1,IC50,'=',2990,nM,5.52,,,UO_0000065,13.33,0.25,2.33,7.04,0,CHEMBL830898,Inhibition of binding to MCHR1 of human neuronal IMR32-derived cell-line I3.4.2 (Galpha-16 transfected),B,BAO_0000019,assay format,Mus musculus,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140256,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,
CHEMBL186750,,None,268.36,0,3.63,50,Nc1ccc2cccc(OCC3CC4CCC3C4)c2n1,IC50,'=',137,nM,6.86,,,UO_0000065,25.57,0.47,3.23,14.26,0,CHEMBL832326,Concentration required to inhibit binding of [125I]MCH radioligand to human melanin-concentrating hormone receptor 1 in IMR-32 I3.4.2 cell membranes,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137102,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,
CHEMBL1972164,,None,334.77,0,3.23,SID124398406,N#CC(C#N)c1cnn(Cc2cccc3ccccc23)c(=O)c1Cl,IC50,'>',20000,nM,,,inactive,UO_0000065,,,,,0,CHEMBL1963871,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1) Set 6. (Class of assay: confirmatory) ,F,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,
CHEMBL1995061,,None,427.25,1,5.15,SID125311301,O=c1c(-c2ccc(F)c(F)c2)c(Br)cnn1Cc1cccc2ccccc12,IC50,,686,nM,,,active,UO_0000065,,,,,0,CHEMBL1963871,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1) Set 6. (Class of assay: confirmatory) ,F,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,
CHEMBL1998298,,None,421.83,1,5.03,SID125311280,N#CC(c1ccc(F)cc1F)c1c(Cl)cnn(Cc2cccc3ccccc23)c1=O,IC50,,214,nM,,,active,UO_0000065,,,,,0,CHEMBL1963871,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1) Set 6. (Class of assay: confirmatory) ,F,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,
CHEMBL184482,,None,425.55,0,3.96,14,CC(C)(C)c1ccc(S(=O)(=O)N2CC[C@H](Oc3cccc4ccc(N)nc34)C2)cc1,IC50,'=',210,nM,6.68,,,UO_0000065,15.69,0.3,2.72,7.81,0,CHEMBL832325,Concentration required to inhibit binding of [125I]MCH radioligand to human Melanin-concentrating hormone receptor 1 in IMR-32 I3.4.2 cell membranes,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137036,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,
CHEMBL425435,,None,436.46,0,2.92,13,COc1ccc2c(=O)cc(C(=O)NC3CCCN(Cc4ccc5c(c4)OCO5)C3)oc2c1,IC50,'>',2000,nM,,,,UO_0000065,,,,,0,CHEMBL908288,Displacement of [125I]MCH from MCHr1 expressed in IMR32 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137327,1,Scientific Literature,J Med Chem,2006,CHEMBL3307656,,
CHEMBL269352,,None,437.47,0,3.28,ref 16b,CC(=O)Nc1cccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c1,IC50,'=',47,nM,7.33,,,UO_0000065,16.75,0.31,4.05,8,0,CHEMBL854908,Displacement of 125I-MCH from MCH-R1 expressed in IMR-32 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137588,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307656,,
CHEMBL215661,,None,463.51,0,3.77,(-)-16,CC(=O)Nc1ccc2c(c1)C(N1CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC1)CC2,IC50,'=',2570,nM,5.59,,,UO_0000065,12.06,0.22,1.82,6.1,0,CHEMBL854909,Displacement of 125I-MCH from MCH-R1 expressed in IMR-32 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137584,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307656,,
CHEMBL386880,,None,523.56,1,3.88,2,N=C(N)NCCC[C@@H](NC(=O)C1c2ccccc2-c2ccccc21)C(=O)NCc1ccc(C(F)(F)F)cc1,IC50,'=',5,nM,8.3,,+/-1nM,UO_0000065,,,,,0,CHEMBL854910,Functional antagonism of MCH-R1 expressed in HEK293 cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137587,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307715,,
CHEMBL194459,,None,484.52,1,5.24,38,CCN1CCN(c2cc(C)c3cc(NC(=O)/C=C/c4ccc(OC(F)(F)F)cc4)ccc3n2)CC1,IC50,'=',2.3,nM,8.64,,,UO_0000065,17.83,0.34,3.4,14.97,0,CHEMBL871627,Displacement of 15 pM [125I]MCH from human MCH1R expressed in CHO-K1 in whole-cell binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL196627,,None,484.52,1,5.24,43,CCN1CCN(c2nc3ccc(NC(=O)/C=C/c4ccc(OC(F)(F)F)cc4)cc3cc2C)CC1,IC50,'=',476,nM,6.32,,,UO_0000065,13.05,0.25,1.08,10.96,0,CHEMBL871630,Displacement of 150p M [125I]MCH from human MCH1R expressed in CHO-K1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL193768,,None,457.41,1,5.17,15,CCN1CCN(c2cc(C)c3cc(NC(=O)Cc4ccc(Cl)c(Cl)c4)ccc3n2)CC1,IC50,'=',727000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL871630,Displacement of 150p M [125I]MCH from human MCH1R expressed in CHO-K1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL366180,,None,444.36,1,5.86,36,Cc1cc(N2CCCCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12,IC50,'=',82,nM,7.09,,,UO_0000065,15.95,0.32,1.23,13.01,0,CHEMBL871630,Displacement of 150p M [125I]MCH from human MCH1R expressed in CHO-K1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL382755,,None,486.54,1,5.35,45,CCc1cc(N(C)CCN(C)C)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',241,nM,6.62,,,UO_0000065,13.6,0.26,1.27,11.47,0,CHEMBL871630,Displacement of 150p M [125I]MCH from human MCH1R expressed in CHO-K1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL194484,,None,598.62,2,6.96,47,Cc1cc(N(C)CCN(C)C)nc2ccc(N(Cc3ccc(F)c(F)c3)C(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',5360,nM,5.27,,,UO_0000065,8.8,0.17,-1.69,10.78,0,CHEMBL871627,Displacement of 15 pM [125I]MCH from human MCH1R expressed in CHO-K1 in whole-cell binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL198361,,None,461.44,0,4.3,49,Cc1cc(N2CCOCC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',12,nM,7.92,,,UO_0000065,,,,,0,CHEMBL884193,Inhibitory concentration against 10 nM MCH-induced IP3 accumulation in CHO-K1 cells expressing human MCH1R after incubation with [3H]myo-inositol,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL196667,,None,445.35,0,4.28,51,Cc1cc(N2CCNCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12,IC50,'=',5,nM,8.3,,,UO_0000065,18.64,0.38,4.02,12.48,0,CHEMBL871627,Displacement of 15 pM [125I]MCH from human MCH1R expressed in CHO-K1 in whole-cell binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL196667,,None,445.35,0,4.28,51,Cc1cc(N2CCNCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12,IC50,'=',16,nM,7.8,,,UO_0000065,17.51,0.35,3.52,11.72,0,CHEMBL871630,Displacement of 150p M [125I]MCH from human MCH1R expressed in CHO-K1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL196667,,None,445.35,0,4.28,51,Cc1cc(N2CCNCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12,IC50,'=',74,nM,7.13,,,UO_0000065,,,,,0,CHEMBL884193,Inhibitory concentration against 10 nM MCH-induced IP3 accumulation in CHO-K1 cells expressing human MCH1R after incubation with [3H]myo-inositol,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL370120,,None,459.47,1,5.45,58,Cc1cc(N2CCCCC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',19,nM,7.72,,,UO_0000065,,,,,0,CHEMBL884193,Inhibitory concentration against 10 nM MCH-induced IP3 accumulation in CHO-K1 cells expressing human MCH1R after incubation with [3H]myo-inositol,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL178259,,None,454.57,0,4.89,8c,O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1cccc2nn(CCN3CCCC3)cc12,IC50,'=',287,nM,6.54,,,UO_0000065,,,,,0,CHEMBL832411,Inhibition of melanin concentrating hormone receptor 1-mediated [Ca2+] release in human neuronal IMR-32 cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142689,1,Scientific Literature,J Med Chem,2005,CHEMBL3307656,,
CHEMBL181099,,None,414.51,0,3.72,26,CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3cccc(C#N)c3)CC2)nc2ccccc12,IC50,'=',10,nM,8,,,UO_0000065,19.3,0.35,4.28,8.52,0,CHEMBL832373,Inhibitory activity against human CA-MCH-R1 (Melanin-concentrating hormone receptor 1) by using [125I](Phe13,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1708047,,None,458.56,0,4.45,SID99234147,O=C(C1CCCCN1Cc1ccc2ccccc2c1)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,IC50,'=',3100,nM,5.51,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1728794,,None,342.78,0,4,SID99218837,COc1ccc(Oc2c(Cl)cnn(-c3cccc(C)c3)c2=O)cc1,IC50,'=',5400,nM,5.27,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1723963,,None,397.65,0,4.99,SID99239949,COc1ccc(Oc2c(Cl)cnn(-c3cc(Cl)cc(Cl)c3)c2=O)cc1,IC50,'=',1100,nM,5.96,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1729021,,None,356.81,0,4.3,SID96021160,COc1ccc(Oc2c(Cl)cnn(-c3cc(C)cc(C)c3)c2=O)cc1,IC50,'=',3900,nM,5.41,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1710128,,None,370.84,0,4.29,SID96021142,CC(C)c1ccc(-n2ncc(Cl)c(Oc3ccc(CO)cc3)c2=O)cc1,IC50,'=',3700,nM,5.43,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1729376,,None,314.73,0,3.38,SID96021151,O=c1c(Oc2ccc(O)cc2)c(Cl)cnn1-c1ccccc1,IC50,'=',11100,nM,4.96,,inactive,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1729749,,None,375.26,1,5.46,SID96021144,CC(C)c1ccc(-n2ncc(Cl)c(Oc3ccc(Cl)cc3)c2=O)cc1,IC50,'=',5700,nM,5.24,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1720022,,None,370.84,0,4.81,SID96021159,COc1ccc(Oc2c(Cl)cnn(-c3cccc(C(C)C)c3)c2=O)cc1,IC50,'=',1700,nM,5.77,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1716381,,None,350.42,0,4.47,SID99218818,COc1ccc(Oc2c(C)cnn(-c3ccc(C(C)C)cc3)c2=O)cc1,IC50,'=',9800,nM,5.01,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1731173,,None,422.53,0,3.61,SID99239952,Cc1cccc(CN2CCCCC2C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c1,IC50,'=',6100,nM,5.21,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1706988,,None,384.86,0,4.98,SID96021157,COc1ccc(Oc2c(Cl)cnn(-c3ccc(C(C)(C)C)cc3)c2=O)cc1,IC50,'=',2700,nM,5.57,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1717204,,None,396.75,0,4.71,SID99239945,COc1ccc(Oc2c(Cl)cnn(-c3cccc(C(F)(F)F)c3)c2=O)cc1,IC50,'=',2600,nM,5.58,,Active,UO_0000065,,,,,0,CHEMBL1738110,PUBCHEM_BIOASSAY: Late-stage fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1861,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3219263,,None,492.62,1,5.94,19f,CC(=O)Nc1cccc(C2CCN(Cc3ccc(C(=O)c4nc5ccccc5n4C4CC4)cc3)CC2)c1,IC50,'=',271,nM,6.57,,,UO_0000065,13.33,0.24,0.63,9.77,0,CHEMBL3224836,Displacement of [125I]MCH from human recombinant MCHR1 expressed CHO-K1 cell membrane by SPA-YSI assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3217700,1,Scientific Literature,Medchemcomm,2011,CHEMBL3307512,,
CHEMBL3219261,,None,553.67,2,6.47,19d,CC(=O)Nc1cccc(C2CCN(Cc3ccc(C(=O)c4nc5ccccc5n4-c4ccc(C#N)cc4)cc3)CC2)c1,IC50,'=',260,nM,6.58,,,UO_0000065,,,,,0,CHEMBL3224837,Antagonist activity at MCHR1 (unknown origin) assessed as IP3 levels by cell-based functional assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3217700,1,Scientific Literature,Medchemcomm,2011,None,,
CHEMBL3219263,,None,492.62,1,5.94,19f,CC(=O)Nc1cccc(C2CCN(Cc3ccc(C(=O)c4nc5ccccc5n4C4CC4)cc3)CC2)c1,IC50,'=',412,nM,6.38,,,UO_0000065,,,,,0,CHEMBL3224837,Antagonist activity at MCHR1 (unknown origin) assessed as IP3 levels by cell-based functional assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3217700,1,Scientific Literature,Medchemcomm,2011,None,,
